"Locality","cc","id","Taxon","MaxAge","MinAge","Rotated.Lat","Rotated.Lon","Area","genus"
"Eastern Cape","ZA",1461,"Cistecephalus",259.51,254.14,-60.8508,-19.3342,1,"Cistecephalus"
"Eastern Cape","ZA",1460,"Diictodon",259.51,254.14,-60.8508,-19.3342,1,"Diictodon"
"Eastern Cape","ZA",1459,"Diictodon",259.51,254.14,-60.8508,-19.3342,1,"Diictodon"
"Northern Cape","ZA",1440,"Cryptocynodon",259.51,254.14,-60.8508,-19.3342,1,"Cryptocynodon"
"Northern Cape","ZA",1439,"Cistecephalus",259.51,254.14,-60.8508,-19.3342,1,"Cistecephalus"
"Free State","ZA",1430,"Daptocephalus",259.51,251.902,-61.365,-10.9827,1,"Daptocephalus"
"Western Cape","ZA",1405,"Diictodon",264.28,259.51,-62.7516,-22.8072,1,"Diictodon"
"Western Cape","ZA",1404,"Emydops",264.28,259.51,-62.7516,-22.8072,1,"Emydops"
"Eastern Cape","ZA",1370,"Endothiodon",259.51,254.14,-63.1595,-14.725,1,"Endothiodon"
"Western Cape","ZA",1362,"Cistecephalus",259.51,254.14,-60.8508,-19.3342,1,"Cistecephalus"
"Western Cape","ZA",1352,"Emydops",259.51,251.902,-60.8508,-19.3342,1,"Emydops"
"Western Cape","ZA",1351,"Daptocephalus",259.51,251.902,-60.8508,-19.3342,1,"Daptocephalus"
"Eastern Cape","ZA",1342,"Daptocephalus",259.51,251.902,-60.8508,-19.3342,1,"Daptocephalus"
"Eastern Cape","ZA",1332,"Daptocephalus",259.51,251.902,-63.1595,-14.725,1,"Daptocephalus"
"Western Cape","ZA",1330,"Pristerodon",259.51,254.14,-60.8508,-19.3342,1,"Pristerodon"
"Western Cape","ZA",1329,"Pristerodon",259.51,254.14,-60.8508,-19.3342,1,"Pristerodon"
"Western Cape","ZA",1328,"Pristerodon",259.51,254.14,-60.8508,-19.3342,1,"Pristerodon"
"Western Cape","ZA",1327,"Cistecephalus",259.51,254.14,-60.8508,-19.3342,1,"Cistecephalus"
"Eastern cape","ZA",1326,"Emydops",259.51,254.14,-63.1595,-14.725,1,"Emydops"
"Eastern cape","ZA",1325,"Cistecephalus",259.51,254.14,-63.1595,-14.725,1,"Cistecephalus"
"Eastern Cape","ZA",1323,"Cistecephalus",259.51,254.14,-63.1595,-14.725,1,"Cistecephalus"
"Eastern Cape","ZA",1322,"Myosauroides",259.51,254.14,-63.1595,-14.725,1,"Myosauroides"
"Eastern Cape","ZA",1321,"Diictodon",259.51,254.14,-63.1595,-14.725,1,"Diictodon"
"Eastern Cape","ZA",1320,"Diictodon",259.51,254.14,-63.1595,-14.725,1,"Diictodon"
"Graaff-Reinet","ZA",1318,"Cistecephalus",259.51,254.14,-63.1595,-14.725,1,"Cistecephalus"
"Eastern Cape","ZA",1317,"Cistecephalus",259.51,254.14,-60.8508,-19.3342,1,"Cistecephalus"
"Eastern Cape","ZA",1316,"Cistecephalus",259.51,254.14,-63.1595,-14.725,1,"Cistecephalus"
